idAll_in,Molecule,idMol,State,Mass,Te,omega_e,omega_ex_e,Be,alpha_e,De,Re,D0,IP,Reference_date,Reference,Contributor,Updated_date,id_user
486,ThO,159,B $^1\\Pi$,14.96345018,11155.57,842.8,2.18,0.32364,0.00129,1.882,1.8638,\N,\N,JUN 1975,\N,Jesus Perez Rios,2019-09-15,2
487,ThO,159,B $^1\\Pi$,14.96345018,11155.57,842.8,2.18,0.324973,0.001299,1.942,1.8638,\N,\N,JUN 1975,\N,Jesus Perez Rios,2019-09-15,2
488,TiO,160,X $^3\\Delta$,11.99388519,0,1009.02,4.498,0.53541,0.00301,6.03,1.62022,6.87,6.4,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
489,TiO,160,X $^3\\Delta$,11.99388519,96.4,1009.02,4.498,0.53541,0.00301,6.03,1.62022,\N,\N,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
490,TiO,160,X $^3\\Delta$,11.99388519,197.5,1009.02,4.498,0.53541,0.00301,6.03,1.62022,\N,\N,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
491,TiO,160,a $^1\\Delta$,11.99388519,\N,1009.3,3.93,0.5376,0.00298,5.9,1.61692,\N,\N,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
492,TiO,160,d $^1\\Sigma^+$,11.99388519,\N,1014.6,4.64,0.54922,0.0037,6,1.59972,\N,\N,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
493,TiO,160,E $^3\\Pi$,11.99388519,12025,924.2,5.1,\N,\N,\N,\N,\N,\N,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
494,TiO,160,A $^3\\Phi$,11.99388519,14089.91,867.78,3.942,0.50739,0.00315,6.92,1.66436,\N,\N,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
495,TiO,160,A $^3\\Phi$,11.99388519,14262.8,867.78,3.942,0.50739,0.00315,6.92,1.66436,\N,\N,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
496,TiO,160,A $^3\\Phi$,11.99388519,14431,867.78,3.942,0.50739,0.00315,6.92,1.66436,\N,\N,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
497,TiO,160,b $^1\\Pi$,11.99388519,\N,911.2,3.72,0.51337,0.00291,6.1,1.65464,\N,\N,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
498,TiO,160,B $^3\\Pi$,11.99388519,16293.5,875,5,0.50617,\N,6.86,1.66636,\N,\N,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
499,TiO,160,B $^3\\Pi$,11.99388519,16345.1,875,5,0.50617,\N,6.86,1.66636,\N,\N,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
500,TiO,160,B $^3\\Pi$,11.99388519,16331.3,875,5,0.50617,\N,6.86,1.66636,\N,\N,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
501,TlCl,161,X $^1\\Sigma^+$,29.8725631,0,283.75,0.818,0.091397022,0.00039932,0.3753,2.484826,3.82,9.7,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
502,TlCl,161,A $^3\\Pi_0^+$,29.8725631,31049.4,223.1,11.4,0.09227,0.00131,0.75,2.473,\N,\N,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
503,TlF,162,X $^1\\Sigma^+$,17.3868727,0,477.3,2.3,0.223150163,0.0015,1.948,2.084438,4.57,10.52,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
504,TlF,162,A $^3\\Pi_0^+$,17.3868727,35186.02,436.3,7.1,0.23091,0.00274,2.81,2.0491,\N,\N,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
505,TlF,162,B $^3\\Pi_1$,17.38687,36863.08,366.64,10.22,0.22492,0.00307,3.92,2.0762,\N,\N,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
506,V0,163,X $^4\\Sigma^-$,12.17296119,0,1011.3,4.86,0.54825,0.00352,6,1.58932,6.41,\N,JAN 1975,\N,Jesus Perez Rios,2019-09-15,2
507,V0,163,B $^4\\Pi$,12.17296119,12567,910.9,\N,\N,\N,6,\N,\N,\N,JAN 1975,\N,Jesus Perez Rios,2019-09-15,2
508,V0,163,B $^4\\Pi$,12.17296119,12625,910.9,\N,\N,\N,6,\N,\N,\N,JAN 1975,\N,Jesus Perez Rios,2019-09-15,2
509,V0,163,B $^4\\Pi$,12.17296119,12689,910.9,\N,\N,\N,6,\N,\N,\N,JAN 1975,\N,Jesus Perez Rios,2019-09-15,2
510,V0,163,B $^4\\Pi$,12.17296119,12760.8,910.9,5,0.5246,0.004,6,1.625,\N,\N,JAN 1975,\N,Jesus Perez Rios,2019-09-15,2
511,XeCl,164,X $^2\\Sigma^+$,27.6410016,0,26.3,-0.28,\N,\N,\N,3.18,0.03,\N,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
512,XeCl,164,B $^2\\Sigma^+$,27.6410016,32405,195.2,0.54,\N,\N,\N,2.94,\N,\N,NOV 1977,\N,Jesus Perez Rios,2019-09-15,2
513,YbD,165,X $^2\\Sigma^+$,1.99104715,0,886.6,10.57,2.01162,0.03425,416,2.0516,\N,\N,JAN 1976,\N,Jesus Perez Rios,2019-09-15,2
514,YbD,165,a $^4\\Sigma^+_{0.5}$,1.99104715,\N,\N,\N,2.1931,\N,480,1.9648,\N,\N,JAN 1976,\N,Jesus Perez Rios,2019-09-15,2
515,YbD,165,a $^4\\Sigma^+_{1.5}$,1.99104715,13008.5,1084.4,9.84,2.3516,0.0371,340,1.8975,\N,\N,JAN 1976,\N,Jesus Perez Rios,2019-09-15,2
516,YF,166,X $^1\\Sigma^+$,15.6534084,0,631.29,2.5,0.29042,0.00163,2.37,1.9257,6.2,\N,DEC 1976,\N,Jesus Perez Rios,2019-09-15,2
517,YF,166,a $^3\\DeltA$_1$$,15.6534084,\N,581.2,2.39,0.285,\N,\N,1.944,\N,\N,DEC 1976,\N,Jesus Perez Rios,2019-09-15,2
518,YF,166,a $^3\\Delta_2$,15.6534084,\N,582.3,2.42,0.285,\N,\N,1.944,\N,\N,DEC 1976,\N,Jesus Perez Rios,2019-09-15,2
519,YF,166,a $^3\\Delta3/$,15.6534084,\N,583.5,2.49,0.285,\N,\N,1.944,\N,\N,DEC 1976,\N,Jesus Perez Rios,2019-09-15,2
520,YF,166,B $^1\\Pi$,15.6534084,15934.2,534.67,2.35,0.26709,0.00156,2.61,2.008,\N,\N,DEC 1976,\N,Jesus Perez Rios,2019-09-15,2
521,YO,167,X $^2\\Sigma^+$,13.55606469,0,861,2.93,0.3881,0.0018,3.2,1.79,7.29,\N,JUL 1975,\N,Jesus Perez Rios,2019-09-15,2
522,YO,167,A $^1\\Pi$,13.55606469,16315,820.7,3.5,0.3857,0.0023,3.5,1.7956,\N,\N,JUL 1975,\N,Jesus Perez Rios,2019-09-15,2
523,YO,167,A $^1\\Pi$,13.55606469,16742.2,822.7,3.97,0.3857,0.0023,3.5,1.7956,\N,\N,JUL 1975,\N,Jesus Perez Rios,2019-09-15,2
524,ZnH,168,X $^2\\Sigma^+$,0.99218372,0,1607.6,55.14,6.6794,0.25,4660,1.5949,0.851,\N,JUL 1975,\N,Jesus Perez Rios,2019-09-15,2
525,ZnH,168,A $^1\\Pi$,0.99218372,23276.9,1910.2,40.8,7.4332,0.2385,4482,1.5119,\N,\N,JUL 1975,\N,Jesus Perez Rios,2019-09-15,2
526,ZrO,169,X $^1\\Sigma^+$,13.57906789,0,969.76,4.9,0.42263,0.0023,3.19,1.7116,7.85,6.1,AUG 1975,\N,Jesus Perez Rios,2019-09-15,2
527,ZrO,169,a $^3\\Delta$,13.57906789,\N,936.5,3.47,0.41328,0.00178,3.169,1.7285,\N,\N,AUG 1975,\N,Jesus Perez Rios,2019-09-15,2
528,ZrO,169,a $^3\\Delta$,13.57906789,\N,936.5,3.47,0.41475,0.0019,3.269,1.7285,\N,\N,AUG 1975,\N,Jesus Perez Rios,2019-09-15,2
529,ZrO,169,a $^3\\Delta$,13.57906789,\N,936.5,3.47,0.41573,0.00173,3.309,1.7285,\N,\N,AUG 1975,\N,Jesus Perez Rios,2019-09-15,2
530,ZrO,169,A $^1\\Delta$,13.57906789,\N,938.1,1.8,0.4167,0.0012,3.5,1.726,\N,\N,AUG 1975,\N,Jesus Perez Rios,2019-09-15,2
531,ZrO,169,B $^1\\Pi$,13.57906789,15443,859,3,0.40154,\N,3.52,1.7583,\N,\N,AUG 1975,\N,Jesus Perez Rios,2019-09-15,2
532,IrC,170,X$_1$ $^2\\Delta_{2.5}$,11.29743405,0,1060.1,4.53,0.5268,0.0032,5.2,1.683,6.45,\N,FEB 1975,\N,Jesus Perez Rios,2019-09-15,2
533,IrC,170,X$_2$ $^2\\Delta_{1.5}$,11.29743405,\N,1030,\N,0.5272,0.0035,5.5,1.6824,\N,\N,FEB 1975,\N,Jesus Perez Rios,2019-09-15,2
534,IrC,170,D $^2\\Phi_{3.5}$,11.29743405,14413.5,935.7,5.96,0.5053,0.0038,5.9,1.7184,\N,\N,FEB 1975,\N,Jesus Perez Rios,2019-09-15,2
535,IrC,170,E1 $^2\\Delta_{2.5}$,11.29743405,15149.2,963.9,5.44,0.5132,0.004,6.2,1.7052,\N,\N,FEB 1975,\N,Jesus Perez Rios,2019-09-15,2
536,LiD,171,X $^1\\Sigma^+$,1.56487081,1054.8,12.935,\N,4.2394,0.1,2756,1.5941,2.4509,7.7,JAN 1977,\N,Jesus Perez Rios,2019-09-15,2
537,LiD,171,A $^1\\Sigma^+$,1.56487081,205.6,\N,\N,1.6125,\N,3508,2.59,\N,\N,JAN 1977,\N,Jesus Perez Rios,2019-09-15,2
538,LiD,171,B $^1\\Pi$,1.56487081,178.7,\N,29.13,1.904,0.425,0.44,2.379,\N,\N,JAN 1977,\N,Jesus Perez Rios,2019-09-15,2
539,MgF,172,X $^2\\Sigma^+$,10.6012334,0,711.69,4.94,0.51922,0.0047,10.8,1.75,4.75,\N,MAR 1977,\N,Jesus Perez Rios,2019-09-15,2
540,MgF,172,A $^1\\Pi$,10.6012334,27816.1,740.12,\N,0.52105,0.00327,3.8,1.7469,\N,\N,MAR 1977,\N,Jesus Perez Rios,2019-09-15,2
541,MgF,172,A $^1\\Pi$,10.6012334,27851.2,746,3.97,\N,\N,\N,\N,\N,\N,MAR 1977,\N,Jesus Perez Rios,2019-09-15,2
542,MgF,172,B $^2\\Sigma^+$,10.6012334,37167.3,750.94,5.6,0.53844,0.0051,10.83,1.7185,\N,\N,MAR 1977,\N,Jesus Perez Rios,2019-09-15,2
543,ScO,139,A\' $^2\\Delta$,11.79747757,15029.8,845.9,4.9,\N,\N,\N,\N,\N,\N,JAN 1977,\N,Jesus Perez Rios,2019-09-15,2
544,ScO,139,A\' $^2\\Delta$,11.79747757,15135.9,845.9,4.9,\N,\N,\N,\N,\N,\N,JAN 1977,\N,Jesus Perez Rios,2019-09-15,2
545,TiS,173,X $^3\\DeltA$_1$$,19.1816179,0,558.37,1.95,0.2018,0.0009,1.035,2.0825,4.75,\N,JUN 1975,\N,Jesus Perez Rios,2019-09-15,2
546,TiS,173,X $^3\\Delta_2$,19.1816179,90,558.3,1.95,0.20268,0.00092,1.095,2.0825,\N,\N,JUN 1975,\N,Jesus Perez Rios,2019-09-15,2
547,TiS,173,X $^3\\Delta3/$,19.1816179,185,558.17,1.95,0.20344,0.00092,1.12,2.0825,\N,\N,JUN 1975,\N,Jesus Perez Rios,2019-09-15,2
548,TiS,173,C $^3\\DeltA$_1$$,19.1816179,11624.3,\N,\N,0.18684,\N,1.06,2.161,\N,\N,JUN 1975,\N,Jesus Perez Rios,2019-09-15,2
549,TiS,173,C $^3\\Delta_2$,19.1816179,11716,484.3,\N,0.1882,0.00099,1.2,2.161,\N,\N,JUN 1975,\N,Jesus Perez Rios,2019-09-15,2
550,TiS,173,C $^3\\Delta3/$,19.1816179,11806,484.12,\N,0.18905,0.00102,1.22,2.161,\N,\N,JUN 1975,\N,Jesus Perez Rios,2019-09-15,2
551,YCl,174,X $^1\\Sigma$,25.0974229,0,380.7,1.3,0.116,0.0003,0.9,2.406,\N,\N,SEP 1976,\N,Jesus Perez Rios,2019-09-15,2
552,YCl,174,C $^1\\Sigma$,25.0974229,14907.6,324.5,1.14,0.1089,0.0007,0.9,2.484,\N,\N,SEP 1976,\N,Jesus Perez Rios,2019-09-15,2
553,BaS,28,a $^3\\Pi_0^+$,25.9547097,14570,235,\N,0.0785,\N,\N,2.88,\N,\N,\N,\N,Jesus Perez Rios,2019-09-15,2
554,BeF,33,B $^2\\Sigma^+$,6.112585,49563.9,1350.8,9.9,1.57,0.014,\N,1.325,\N,\N,APR 1976,\N,Jesus Perez Rios,2019-09-15,2
556,BeH,34,B $^1\\Pi$,0.90645687,50882,2265.94,71.52,10.8495,0.1016,10350,1.3092,\N,\N,SEP 1976,\N,Jesus Perez Rios,2019-09-15,2
557,BeD,35,B $^1\\Pi$,1.64619882,50906,1646.22,25.15,5.9963,0.1217,3114,1.3068,\N,\N,SEP 1976,\N,Jesus Perez Rios,2019-09-15,2
558,BD,42,B $^1\\Sigma^+$,1.70262163,52348,1700.34,46.6,6.705,0.195,4000,1.2124,\N,\N,APR 1976,\N,Jesus Perez Rios,2019-09-15,2
559,BiH,45,B $0^+$,1.00298823,21263,1643.07,47,5.3078,0.1861,2010,1.7795,\N,\N,MAY 1976,\N,Jesus Perez Rios,2019-09-15,2
560,BiD,46,B $0^+$,1.994887609,21263.7,1185.1,25,2.6687,0.0644,507,1.7795,\N,\N,MAY 1976,\N,Jesus Perez Rios,2019-09-15,2
561,BiO,47,B $^4\\Sigma^-_{0.5}$,14.85773557,28738.2,483,5,0.206,0.0029,\N,2.09,\N,\N,MAY 1976,\N,Jesus Perez Rios,2019-09-15,2
563,B0,50,B $^2\\Sigma^+$,6.52094009,43174.05,1281.69,10.66,1.5171,0.021,85,1.3054,\N,\N,JUN 1976,\N,Jesus Perez Rios,2019-09-15,2
564,BrCl,175,X $^1\\Sigma^+$,24.2317306,0,444.276,1.843,0.1524695,0.0007697,0.7183,2.136065,2.233,11.1,JUN 1976,\N,Jesus Perez Rios,2019-09-15,2
565,BrCl,175,B $^3\\Pi_0^+$,24.2317306,16879.91,222.68,2.884,0.107704,\N,1.01,2.5415,\N,\N,JUN 1976,\N,Jesus Perez Rios,2019-09-15,2
566,BS,51,B $^2\\Sigma^+$,8.18936774,36223.4,770,4,0.6311,\N,15.3,1.806,\N,\N,JUN 1976,\N,Jesus Perez Rios,2019-09-15,2
567,CaH,53,B $^2\\Sigma^+$,0.98303388,15762,1285,20,4.341,0.116,2020,1.9744,\N,\N,JUL 1976,\N,Jesus Perez Rios,2019-09-15,2
568,CaO,54,A $^1\\Sigma^+$,11.42292245,11554.8,718.9,2.11,0.40592,0.00137,5.4,1.9067,\N,\N,SEP 1976,\N,Jesus Perez Rios,2019-09-15,2
569,CD,58,B $^2\\Sigma^-$,1.7246361,26043,1625.5,123.8,7.104,0.341,6360,1.173,\N,\N,AUG 1976,\N,Jesus Perez Rios,2019-09-15,2
570,CN,61,B $^2\\Sigma^+$,6.46219329,25752,2163.9,20.2,1.973,0.023,66,1.15,\N,\N,SEP 1976,\N,Jesus Perez Rios,2019-09-15,2
571,CP,64,B $^2\\Sigma^+$,8.64911823,29100.4,836.32,5.917,0.6829,0.00628,18.2,1.6894,\N,\N,OCT 1976,\N,Jesus Perez Rios,2019-09-15,2
572,CuBr,176,X $^1\\Sigma^+$,35.0114277,0,314.8,0.96,0.10192625,0.00045214,0.3,2.261,3.43,\N,NOV 1975,\N,Jesus Perez Rios,2019-09-15,2
573,CuBr,176,A $^1\\Pi$,35.0114277,20498.5,296.13,1.01,\N,\N,\N,\N,\N,\N,NOV 1975,\N,Jesus Perez Rios,2019-09-15,2
574,CuBr,176,B $^1\\Pi$,35.0114277,23044.7,284.22,1.32,\N,\N,\N,\N,\N,\N,NOV 1975,\N,Jesus Perez Rios,2019-09-15,2
575,CuBr,176,C $^1\\Sigma^+$,35.0114277,23460.9,294.7,1.06,0.0942,0.00041,0.42737,2.173441,\N,\N,NOV 1975,\N,Jesus Perez Rios,2019-09-15,2
576,CuF,69,B $^1\\Sigma^+$,14.5928363,1917.5,657,3.92,0.3716,0.0032,4.8,1.7632,\N,\N,AUG 1975,\N,Jesus Perez Rios,2019-09-15,2
577,CuH,70,B $^3\\Pi_0^+$,0.99193919,26420.9,1669.7,51.2,6.582,0.29,4050,1.6069,\N,\N,JAN 1975,\N,Jesus Perez Rios,2019-09-15,2
578,CuD,71,B $^3\\Pi_0^+$,1.95163876,26381.8,1222,35.7,3.317,0.086,1200,1.6137,\N,\N,JAN 1975,\N,Jesus Perez Rios,2019-09-15,2
579,GaCl,77,B $^3\\Pi_1$,23.1990149,29859.4,395.3,2.5,0.15686,\N,\N,2.1523,\N,\N,JUL 1976,\N,Jesus Perez Rios,2019-09-15,2
580,GaF,78,B $^3\\Pi_1$,14.8932747,33427.8,662.1,1.45,0.37198,0.00302,\N,1.68167,\N,\N,JUL 1976,\N,Jesus Perez Rios,2019-09-15,2
581,GeF,81,B $^2\\Sigma^+$,15.1139772,35010.85,796.99,3.613,0.3944,0.00255,3.88,1.86582,\N,\N,SEP 1976,\N,Jesus Perez Rios,2019-09-15,2
582,HfO,87,B $^1\\Pi_0$,14.68923287,17562.22,907.01,3.38,0.377537,0.0018,2.618,1.7429,\N,\N,JAN 1975,\N,Jesus Perez Rios,2019-09-15,2
583,HfO,87,B $^1\\Pi_0$,14.68923287,17562.22,907.01,3.38,0.37806,0.00182,2.63,1.7429,\N,\N,JAN 1975,\N,Jesus Perez Rios,2019-09-15,2
584,ICl,89,B $^3\\Pi_0^+$,27.4146708,17363.1,221.1,9.62,0.0872,0.0017,0.1,2.66,\N,\N,JAN 1977,\N,Jesus Perez Rios,2019-09-15,2
585,InCl,91,B $^3\\Pi_1$,26.8097927,28560.2,339.4,2.1,0.1152,\N,0.24,2.336,\N,\N,JAN 1977,\N,Jesus Perez Rios,2019-09-15,2
586,InF,92,A $^3\\Pi_0^+$,16.3028614,31255.74,575.25,2.63,0.27362,0.00204,2.5,1.944,\N,\N,JAN 1977,\N,Jesus Perez Rios,2019-09-15,2
587,MgH,104,B\' $^2\\Sigma^+$,0.96718516,22410.5,828,11.6,2.596,\N,1200,2.597,\N,\N,MAR 1977,\N,Jesus Perez Rios,2019-09-15,2
589,MgD,105,B\' $^2\\Sigma^+$,1.85807372,22410.3,597.5,6.05,1.35,\N,250,2.596,\N,\N,MAR 1977,\N,Jesus Perez Rios,2019-09-15,2
590,MgO,106,B $^1\\Sigma^+$,9.9577628,19984,824.08,4.76,0.5822,0.0045,11.4,1.7371,\N,\N,MAR 1977,\N,Jesus Perez Rios,2019-09-15,2
591,PbO,123,B $1$,14.85263923,22285,2.2,0.54,0.2646,0.0026,3,2.071,\N,\N,JUL 1977,\N,Jesus Perez Rios,2019-09-15,2
592,PbS,124,B $1$,27.7119401,21847.4,282.17,0.856,0.09992,0.000602,\N,2.467,\N,\N,JUL 1977,\N,Jesus Perez Rios,2019-09-15,2
593,PS,177,X $^2\\Pi$,15.7325008,0,739.1,2.96,0.29632,\N,2,1.9009,4.54,\N,JUL 1977,\N,Jesus Perez Rios,2019-09-15,2
594,PS,177,X $^2\\Pi$,15.7325008,320.8,739.1,2.96,0.29674,\N,2,1.9009,\N,\N,JUL 1977,\N,Jesus Perez Rios,2019-09-15,2
595,PS,177,B $^2\\Pi$,15.7325008,22894,512.2,2.15,\N,\N,\N,\N,\N,\N,JUL 1977,\N,Jesus Perez Rios,2019-09-15,2
596,PS,177,B $^2\\Pi$,15.7325008,22987.7,512.2,2.15,\N,\N,\N,\N,\N,\N,JUL 1977,\N,Jesus Perez Rios,2019-09-15,2
597,PS,177,C $^2\\Sigma$,15.7325008,34686.5,534.8,3.31,0.26442,0.00196,2.5,2.013,\N,\N,JUL 1977,\N,Jesus Perez Rios,2019-09-15,2
598,ScO,139,A\' $^2\\Delta$,11.79747757,15029.8,845.9,4.9,\N,\N,\N,\N,\N,\N,JAN 1977,\N,Jesus Perez Rios,2019-09-15,2
599,ScO,139,A\' $^2\\Delta$,11.79747757,15029.8,845.9,4.9,\N,\N,\N,\N,\N,\N,JAN 1977,\N,Jesus Perez Rios,2019-09-15,2
600,ScO,139,B $^2\\Sigma^+$,11.79747757,20645.1,825.47,4.21,0.48308,0.0032,6.74,1.71986,\N,\N,JAN 1977,\N,Jesus Perez Rios,2019-09-15,2
601,SiF,145,a $^4\\Sigma^-$,11.3148108,29805.06,863.1,5.37,0.57862,0.00502,10.5,1.6046,\N,\N,SEP 1977,\N,Jesus Perez Rios,2019-09-15,2
602,SiF,145,B $^2\\Sigma^+$,11.3148108,34561.5,1011.23,4.825,0.62707,0.00462,10.1,1.5414,\N,\N,SEP 1977,\N,Jesus Perez Rios,2019-09-15,2
603,SiS,178,X $^1\\Sigma^+$,14.9206889,0,749.64,2.577,0.30352788,0.00147308,2.01,1.929321,6.42,\N,AUG 1977,\N,Jesus Perez Rios,2019-09-15,2
604,SiS,178,a $^3\\Pi_1$,14.9206889,30239.2,\N,\N,0.2818,\N,\N,2.0023,\N,\N,AUG 1977,\N,Jesus Perez Rios,2019-09-15,2
605,SiS,178,D $^1\\Pi$,14.9206889,35026.86,513.12,2.93,0.26647,0.00216,2.91,2.0591,\N,\N,AUG 1977,\N,Jesus Perez Rios,2019-09-15,2
606,SnCl,150,A $^2\\Delta$,27.0731195,26695,169.1,6.8,\N,\N,\N,2.619,\N,\N,SEP 1977,\N,Jesus Perez Rios,2019-09-15,2
607,SnCl,150,A $^2\\Delta$,27.0731195,27063,263.6,6.8,\N,\N,\N,2.619,\N,\N,SEP 1977,\N,Jesus Perez Rios,2019-09-15,2
608,YbD,165,D $^2\\Pi_{0.5}$,1.99104715,15326.4,957.9,9.7,2.122,0.039,418,1.997,\N,\N,JAN 1976,\N,Jesus Perez Rios,2019-09-15,2
609,YbD,165,D $^2\\Pi_{1.5}$,1.99104715,16778.6,945.5,15.6,2.09241,0.0472,396.2,2.0003,\N,\N,JAN 1976,\N,Jesus Perez Rios,2019-09-15,2
610,YO,167,B $^2\\Sigma^+$,13.55606469,20791,765.5,8,0.3722,\N,3.8,1.8279,\N,\N,JUL 1975,\N,Jesus Perez Rios,2019-09-15,2
611,ZnH,168,B $^2\\Sigma^+$,0.99218372,27587.7,120.7,16.5,3.288,\N,1400,2.273,\N,\N,JUL 1975,\N,Jesus Perez Rios,2019-09-15,2
